0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,6.666666666666666297e-01,7.500000000000000000e-01,8.000000000000000444e-01,8.333333333333333703e-01,2.020305089104421636e-01,7.500000000000000000e-01,7.777777777777777901e-01
1.000000000000000000e+00,0.000000000000000000e+00,1.414213562373095145e+00,1.118033988749894903e+00,1.054092553389459841e+00,1.030776406404415146e+00,1.019803902718556810e+00,1.666666666666666574e-01,8.689660757568884453e-01,8.838834764831844382e-01
5.000000000000000000e-01,1.414213562373095145e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01,8.333333333333333703e-01,8.571428571428570953e-01
6.666666666666666297e-01,1.118033988749894903e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.535533905932737864e-01,8.000000000000000444e-01,8.333333333333333703e-01
7.500000000000000000e-01,1.054092553389459841e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.453559924999298980e-01,7.500000000000000000e-01,8.000000000000000444e-01
8.000000000000000444e-01,1.030776406404415146e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.581138830084189761e+00,6.666666666666666297e-01,7.500000000000000000e-01
8.333333333333333703e-01,1.019803902718556810e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.123105625617660586e+00,5.000000000000000000e-01,6.666666666666666297e-01
2.020305089104421636e-01,1.666666666666666574e-01,2.000000000000000111e-01,3.535533905932737864e-01,7.453559924999298980e-01,1.581138830084189761e+00,4.123105625617660586e+00,0.000000000000000000e+00,5.099019513592784492e+00,3.041381265149109669e+00
7.500000000000000000e-01,8.689660757568884453e-01,8.333333333333333703e-01,8.000000000000000444e-01,7.500000000000000000e-01,6.666666666666666297e-01,5.000000000000000000e-01,5.099019513592784492e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.777777777777777901e-01,8.838834764831844382e-01,8.571428571428570953e-01,8.333333333333333703e-01,8.000000000000000444e-01,7.500000000000000000e-01,6.666666666666666297e-01,3.041381265149109669e+00,1.000000000000000000e+00,0.000000000000000000e+00
